company,job_header,job_description
Tiger Analytics Inc.,computer software engineer,"Information Technology
Computer Science
Electrical, Electronics and Communications Engineering
Computer Applications
Data manipulation and analysis
Area of Specialization
System integration
Work Setting
Consulting firm
Specific Skills
Collect and document user's requirements and develop logical and physical specifications
Research, evaluate and synthesize technical information to design, develop and test computer-based systems
Develop data, process and network models to optimize architecture and to evaluate the performance and reliability of designs
Plan, design and co-ordinate the development, installation, integration and operation of computer-based systems
Assess, troubleshoot, document, upgrade and develop maintenance procedures for operating systems, communications environments and applications software
Lead and co-ordinate teams of information systems professionals in the development of software and integrated information systems, process control software and other embedded software control systems
Programming Languages
SQL
Python
React.js
Scala
Angular.js
Hadoop
R
Security and Safety
Criminal record check
Transportation/Travel Information
Valid driver's licence
Work Conditions and Physical Capabilities
Attention to detail
Tight deadlines
Computer and Technology Knowledge
Programming languages
Software development
SQL
Data analysis software
Mapping and data visualization software
MS Office
Business intelligence
Cloud
Personal Suitability
Effective interpersonal skills
Team player
Excellent oral communication
Excellent written communication
Client focus
Teleworking Information
Remote work available
Benefits
Medical Benefits
Disability Benefits
Dental Benefits
Group Insurance Benefits
Life Insurance Benefits
Pension Plan Benefits
RRSP Benefits
Vision Care Benefits"
St. Michael's Hospital,Junior Data Scientist - Data Science & Advanced Analytics,"The Data Science and Advanced Analytics (DSAA) team at Unity Health Toronto houses a team of Data Scientists devoted to applying data science to advance patient care and health system efficiency at Unity Health Toronto. DSAA is looking for a Data Scientist who will focus on machine learning applications in healthcare.
DSAA works closely with physicians and administrators at St. Michael’s Hospital and researchers at the University of Toronto in a team-based environment. The Data Scientist will use the Enterprise Data Warehouse at St. Michael’s Hospital as the primary data source to provide data-driven insights into key drivers of patient outcomes and hospital performance. The Enterprise Data Warehouse at St. Michael’s Hospital is one of the most comprehensive inpatient databases in Canada.
As part of the data science team, the successful candidate will support Sr. Data Scientists in all stages of DSAA analytic projects. Responsibilities will include importing, manipulating and cleaning raw data, exploring and creating data summaries including data visualization and tabular reports. Additionally, the candidate will contribute to building and validating predictive models using analytical techniques such as time series analysis, multivariable regression analysis, and neural networks. Other responsibilities will include contributing to manuscripts and ethics applications, ad hoc report generation and support of data management activities, which may involve database validation, data review, and quality control. Data Scientists at the DSAA have areas of specialization within machine learning, simulation modeling, and/or biostatistics. The possible areas of specialization for this Data Scientist position are time series models, forecasting, graphical methods, Bayesian methods, and/or ML/ModelOps.
DUTIES & RESPONSIBILITIES:
Conducting analysis with basic supervised and unsupervised machine learning methods is an asset, including: Linear regression, logistic regression, GLM, penalized regression, SVM, random forest, xgboost, and neural networks
Perform descriptive and inferential statistical analysis in R and/or Python. Write HTML/PDF/Microsoft Word reports summarizing the analysis.
Validate output tables, listings or figures generated to ensure accuracy and reliability of analyses
Produce high quality ad hoc and standardized reports customized per project, using R/Python procedures, tailored to different end-users (e.g. clinicians, researchers, senior management, and hospital executives)
Develop efficient programs, algorithms, or systems to reduce programming time of standardized data analyses and reports
Assist with writing project protocols, including: data extraction, cleaning, predictive modelling, and validation plans
Write queries to extract data from the St. Michael’s Hospital Enterprise Data Warehouse (EDW)
Pre-process raw data to prepare for analysis. This includes cleaning and merging data from multiple sources, as well as understanding overall data quality.
Design and develop dashboards and reports with interactive visualizations using libraries like Highcharts, plotly, etc.
QUALIFICATIONS:
A Master's degree Computer Science, Statistics/Biostatics or related quantitative or informatics disciplines, with at least 1 year of relevant work experience (We will also consider other degrees and disciplines in conjunction with applied experience)
Expert level programming with either R (preferred) or Python is required
Experience working with and manipulating large datasets
Familiarity with databases such as: Netezza, SQL, Oracle, etc.
Familiarity with version control (git, Github, GitLab).
Experience writing reproducible reports using R Markdown (preferred) and/or Jupyter Notebooks
A deep understanding and experience with classical hypothesis testing, regression and classification tasks using generalized linear models, penalized regression, decision tree learning, random forest, support vector machines
Experience with time series modeling approaches, such as ARIMA, state space modeling, feed forward and recurrent neural networks is an asset.
Experience with graphical methods would be an asset
Experience with Bayesian methods would be an asset
Experience with ML/ModelOps would be an asset
Experience in healthcare is an asset
Demonstrated ability to manage statistical programming activities
Proficient with MS Office software (Word, Excel, PowerPoint, Outlook, etc.)
In order to be considered for this position, please include links to any public-facing code and tools you have created (e.g., personal or institutional Github repositories, your website)
As a condition of employment, all external hires will be required to submit proof of COVID-19 vaccination or documentation unless a valid accommodation under the Ontario Human Rights Code exists."
Shaw Communications,Data Analyst Intern - Temporary (6 months),"A little about us

What we do at Shaw matters - in a world where being connected has never been more critical, we bring the best wireline and wireless technology and solutions together to create exceptional customer experiences. Every day we help millions of Canadians live their best-connected lives through the strength, capacity and combined power of our Fast LTE and Fibre+ networks.
At Shaw we say we’re brighter together, and we believe it’s the diverse mix of brilliant people here that really makes us shine. When you join our team, you’ll see we are so much more than just a company. Shaw connects you with limitless opportunity, an incredible culture, career development and a great benefits package. We are a friendly, collaborative group, and we have a lot of fun finding new ways to delight our customers.
Come dream bigger and brighter with Shaw.
The role
As a Data Analyst Intern, you will directly report to the Manager, Analytics and Measurements and will be responsible for supporting the team in exploring the use of existing tools to build the process and pipeline between Analytics and Data Science. The internship project will answer the question “what level of depth can be done by our analytics team and turn in to a request for the modeling teams? What does that handoff look like?”. The role will leverage and evolve existing technologies and data sources to collect, compile, and transform data in a production environment. This person should love thinking about the data needed to influence and augment the data models and how to test possible Data Science use cases in a tool such as Alteryx with simplified machine learning capabilities.

The ideal candidate thrives at delivering automated and efficient solutions to data problems. Knowledge of data, analytics, statistics and data science techniques is an asset.
A typical day
Using SQL and Python to manipulate large volumes of data to support business requirements
Learn and test simplified data science tools
Manage and test data automation of recurring processes
Own the development and on-going maintenance of various ETLs
Data discovery and audits as needed
Support ad hoc analysis & reporting for the Analytics & Measurement team as needed
Your skills/experience
Education in Computer Science, Mathematics or Statistics degree
Experience in data transformation and loading to physical tables or distributed storage environment
SQL skills with hands on experience of manipulating and analyzing customer database data
Experience with Python, R, SAS and other data analytical tools. Loves data and finding ways to be efficient including automation.
Other details
This position requires the successful completion of a criminal and credit background check
This role is ideally based in Calgary, Toronto or Vancouver
No Travel Required
At Shaw, we believe diversity and inclusion are integral to the continued growth and success of our entire company. We believe diversity and inclusion enhances our Company’s culture and creates a sense of belonging where people feel comfortable bringing their true selves to work. This in turn promotes innovation through harnessing the variety of experiences, thoughts, and perspectives our employees have to offer. We encourage applications from all qualified individuals, regardless of race, gender, age, or any other identifying characteristic.
Shaw Communications, through its third-party vendor, collects and stores information applicable to the candidate profile you create when you submit the information asked for below. The use and disclosure of the collected information is for the sole purpose of job search and placement activities for Shaw Communications. The information is subject to Personal Information Protection and Electronic Documents Act. The information will be retained and when disposed of, it is done so in a secure manner. Your profile will become inactive and moved to the archive if you do not access your profile for a period of 1 year."
Amazon Dev Centre Canada ULC,Software Developer Engineer - ATI Engineering,"Bachelor’s Degree in Computer Science or related field
1+ years professional experience in software development
Proficiency in, at least, one modern programming language such as Java, C/C++ or Python
Strong problem solving and analytical abilities
Do you want to develop software that will power Amazon’s mission to be Earths best employer?
We invite you to join us in Toronto for this rare opportunity of building the future of apps and highly-scalable, distributed systems to support Customer Service Associate (CSA) experiences.

As a Software Engineer on our team, you will design and develop full-stack solutions that will power the associate experience for the next generation mobile and web interfaces.

In Associate Technology & Innovation (ATI) team, we delight hundreds of thousands of customer service agents across geographies with a vast selection of relevant apps, and services making it trivially easy for them to manage their entire lifecycle. Over the next few years our team will play a critical role in empowering agents to integrate their work schedules into their lifestyle, improve their skills and provide the customer service experience that Amazon is known for.

We are looking for a talented and creative engineer to build and launch brand new mobile and web based platforms. Along the way, you’ll learn about workforce scheduling, advanced optimization, employing gamification strategies to build long-term customer engagement and planning through the lens of a new confidential business. You will have ample opportunity to leverage and develop your expertise in cloud computing, distributed systems, data processing and machine learning to develop solutions that breaks new ground for Amazon to achieve operational efficiency and excellence. This opportunity will allow you to collaborate with members of our agile team, including cross-functional engineers, product/program management, and UX design.

Successful candidates will work across all layers of the software stack including improving complex data architecture and building out new associate-facing features. We are seeking that rare combination of solid coding background, an aptitude to apply modern technologies at scale, and a willingness to challenge the status quo and raise the bar on every service and feature we build. If you have an entrepreneurial spirit, are deeply technical, innovative and long for the opportunity to build software that makes a difference, we want to talk to you.

The preferred location for this position is in Toronto.

Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age

Understanding of data structures, design patterns, algorithms, and object oriented design
Experience working in React Native or mobile native platforms
Excellent written and verbal communication
Experience with AWS infrastructure and services
Amazon is committed to providing accommodations at all stages through recruitment and employment in accordance with applicable human rights and accommodation legislation. If contacted for an employment opportunity, advise Human Resources if you require accommodation, including in order to apply for a position."
Jerry,"Software Engineer, 2021-2022 New Grad","We’d love to hear from you if you like:

Start-up energy working with a brilliant and passionate team
$900 billion market opportunity
Exponential growth (10X revenue in 2020)
Rockstar teammates. You will be working with a strong leadership team from Facebook, Alibaba, Amazon, Lending Club, GEICO, SoFi, etc.

A few examples of the exciting projects that we are working on:
Create a smart prediction engine for customer’s insurance coverage needs
Build predictive models on customer purchase behavior based on a large data set
Use telematics tracking to build customer driving risk profile
About YOU:
You love tackling convoluted problems and coming up with clean, stable solutions that scale.
You have a genuine passion for designing and implementing elegant software solutions.
You are intimately familiar (and up to date) with the development ecosystem and make sound decisions when choosing the right tool or library for the job.
You will contribute across the entire product stack, as well as collectively oversee the integrity of the codebase.
A few more specifics about YOU:
1 + years of full-time software development experience.
B.S. degree in Computer Science or related discipline.
Strong software development fundamentals (data structures, algorithms, etc.).
Proficient with modern web application development with knowledge of JS ecosystems and open source web frameworks (e.g. NodeJS / React / GraphQL / PostgreSQL / Redshift / Redis / Kubernetes).
Knowledge of good practices, preferred design patterns, and writing idiomatic Javascript code.
Solid understanding of performance implications and scalability of code.
Keenness for writing good, meaningful tests and maintaining thorough test coverage.
Experience with large, complex codebases and know how to maintain them.
About Jerry:

Jerry is building the first Super App to save car owners time and money on all their car expenses. Drivers deserve better. That’s why we’re committed to making shopping for insurance, financing, maintenance, repairs, parking and more just a few clicks, texts, or swipes away.

Jerry is taking processes that haven’t substantively changed in decades and reimagining and redesigning them. Using artificial intelligence, machine learning and bots, Jerry eliminates the need for long forms and phone calls while providing personalized services for all car-owners’ needs.

Today, Jerry is the #1 rated and most downloaded app in its category and the fastest way to compare and buy car insurance. We just passed our 1M customer mark in the car insurance category and we are just getting started. Jerry is replicating that frictionless experience in other car expense categories.

Join our team of curious and passionate people who love tackling real-world problems and be a part of building a revolutionary product that’s disrupting a massive market.

Jerry was founded in 2017 by serial entrepreneurs who previously built and scaled YourMechanic and has raised more than $130 million in financing."
Intact,Data Science - 4 Month Co-op/Internship (Winter 2022),"It’s more than a great career. It’s a bright future.
We aim to be the best insurance AI shop in the world and we’re cultivating the next generation of tech and talent to help us do it. With our team, you’ll get valuable, hands-on industry experience plus the opportunity to fast-track your career in data science.
At Intact, we’re leading an insurance transformation to better protect people, businesses and society. We want future leaders - like you - to help us lead the charge. Join our Intact Lab – Data Science team as a Data Science Co-op/Intern! In this role, you’ll make a difference while building the skills and experience that will propel your career forward.



About the role


Here, we cultivate an environment that will help you meet your full potential. You’ll be encouraged to seize on challenges, learn from our diverse teams, and grow. As a valued member of the team, you’ll get hands-on business experience, on-the-job coaching and opportunities to build relationships. That’s how we develop the future leaders who will continue to deliver on our purpose to help people, businesses, and society prosper in good times and be resilient in bad times.
As a Data Science Co-op/Intern, you will take on stimulating projects that offer opportunities to learn and grow as part of a multidisciplinary team with a mandate to develop and roll out innovative products. CLICK HERE to watch a video on how the #intactlab #datascience team is helping to transform the way millions of Canadians protect the things they love.
You may be a good fit for this role if you:
Have strong analytical and problem-solving skills
Are an effective communicator
Are well organized, with good time management skills
Are able to work independently
Are creative
Are comfortable working as part of a team
What you’ll do here:
Transform complex data sets into meaningful conclusions and recommendations
Participate in developing completely new and innovative solutions, using machine learning, AI and statistical approaches
Get experience working with different types of data including telematics, text data and image data
Be on the lookout for new approaches and opportunities to integrate them into the solutions you design
Here are a few reasons why others have joined our team:
Experience first-hand what it’s like to work as a Data Scientist and learn more about how advances in technology are shaping the way the insurance business works
Explore new ideas and learn best practices in a fun, inclusive environment
Put your creative mind to work while you help the team solve problems and contribute to challenging, meaningful projects
Be a part social events with the team, where you will meet new people and celebrate successes



Qualifications


What you bring to the table:
Bachelor's, Master's or PhD in progress, in artificial intelligence, data science, computer science, mathematics, statistics or a related field
Available to work with us for a 4 month, 8 month or 12 month period (beginning in January 2022)
Practical experience in data science, Machine Learning or deep learning
Practical experience with Python or R programming languages
Knowledge of Big Data tools: Spark, Hadoop, (an asset)
Knowledge of computer visioning or natural language processing (NLP) (an asset)
Understanding of data science approaches in consumer research domains (an asset)
Your career starts here. Apply today!
We can’t wait to learn more about you. When you complete your application, remember to include your cover letter, resume, University transcript and links to personal projects you developed. We hire co-ops every semester (Winter, Summer and Fall)! We’re accepting applications now through October 8, 2021 at 11:59pm EST. All submissions will be reviewed during this time, as well as after the posting closes.
Flexible Work Arrangements
Right now, we support 100% remote work, if your role permits. We anticipate that in early 2022, we’ll be moving to a hybrid approach which gives us the best of both worlds – a mix of home and in-office workdays.



Closing Statement


We are an Equal Opportunity Employer
At Intact, our value of Respect is founded on seeing diversity as a strength, being inclusive and fostering collaboration. We value diversity and strive to create an inclusive, accessible workplace where all individuals feel valued, respected and heard.
If we can provide a specific adjustment to make the recruitment process more accessible for you, please advise the Talent Acquisition partner who reaches out about the job opportunity and they will work with you to meet your needs.
Background Checks
As an employer and publicly traded financial services company, the best interests of our customers, employees and shareholders are important to us. We want Intact to be a great place to work! This means that internal and external candidates will be asked to consent to background checks so we can learn more about you. Please note that for positions with access to financial data or funds, your credit must be in good standing.
Internal Candidates
For internal candidates, you can apply for a posted position if you have been in your current position for at least 12 months and are performing at a satisfactory level. Please note we may have identified other internal candidates through our Employee Development Program, and that the selection process may also be opened to external applicants.
Eligibility to Work in Canada
It’s important that you are legally eligible to work in Canada at the time an offer of employment is made. You may be requested to provide proof of eligibility at that time.



Student Relations


studentrelations"
FDM Group,Toronto - Junior DevOps Engineer,"Find out about FDM’s Coronavirus (COVID-19) preparations here.
Note: Please only submit one application, even if you are interested in more than one opportunity. A recruiter will speak to you about all options available after we review your application. Please note this role is part of our graduate program.
Our people are our passion at FDM. That’s why we make your training and career growth a priority. Since 2014, we have launched the tech careers of over 2,000 people in Canada. FDM is currently seeking numerous ambitious and driven candidates with the aptitude for IT to work as FDM consultants. We help people like you make their first step into tech every day. Are you ready to make yours?
About This Role
As a Junior DevOps Engineer with FDM, you will undergo industry specific training and continue your career journey as an FDM consultant by working for one of our globally recognized clients. Some common positions you could be working in include Platform Engineer, Performance Engineer, Infrastructure/Security Engineer and more!
Junior DevOps Engineers focus on creating solutions using software tools and automation to improve operations where you can get involved in a myriad of projects. DevOps roles can involve enhancing and streamlining operational processes though automation and integration. You could also be modifying existing software platforms to correct errors, adapt to new infrastructure, or to improve performance and security. You would also analyze user needs and software requirements to determine feasibility of design, development and delivery within time and cost constraints.
This position is ideal for final year students hoping to secure an entry-level job upon graduation. No previous qualifications or STEM Field experience is required.
Minimum Qualifications
Degree or Diploma (preferably in Computer Science, Engineering, Mathematics, or similar).
A natural aptitude for technology and a strong desire to expand your technical skill set.
Exposure or familiarity with one or more programming languages (Python, JavaScript, Java, C, C++, C#).
Exposure to one or more operating systems (Microsoft, Linux).
Understanding of Excel and SQL.
Able to commit to work for FDM for a minimum of two years working as an FDM consultant following the training period.
Eligible to work in Canada.
Benefits
A chance to work for some of the most prestigious companies in the world.
Opportunity to earn professional certifications related to your career path.
Two-year contract in industry.
Continuous career support and upskilling from FDM.
Comprehensive and competitive benefits package.
Access to a network of mentors and like-minded individuals.
Industry recognized paid training.
About the FDM Graduate Program
FDM’s Graduate Program is a great way for students to enter the job market upon graduation. At FDM, we train the brightest talent to become the innovators of tomorrow. Technology makes the world a better place and we believe passion, drive and curiosity are what you need to have a successful career in tech. This is why we do not require any previous experience to join FDM’s Graduate Program.
FDM’s two-year graduate program begins with training in one of our career streams in business and technology that are in high demand in the job market. We will provide you with the industry-specific technical and professional skills you need in your chosen stream, after which you will start working as an FDM Consultant with our globally recognized clients.
Upon completion of the program, many graduates see their journey with FDM culminating in an accelerated career progression, better placing them to apply for senior roles within the industry.
Diversity and Inclusion
Diversity and inclusion are at the heart of what we value as an organization. FDM is a globally recognized organization with centers across seventeen countries globally. We are proud to celebrate our employee backgrounds consisting over 85 nationalities.
FDM Group is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, colour, religion, sex, sexual orientation, national origin, age, disability, veteran status or any other status protected by federal, provincial or local laws.

#INDFDM"
CGI,New Grad Tech Academy (January 2022 Start Date),"Are you a soon-to-be graduate with a passion for tech? As Canada’s largest IT consulting firm, CGI is looking for innovative and tech savvy individuals to join our New Grad Tech Academies.

We are looking for bright and energetic individuals to support client journeys in high-end business and IT consulting, systems integration, transformational outsourcing, and intellectual property.

New Grad Tech Academies:
These academies are an opportunity for you to accelerate your learning in designated tech specializations. These academies run from 5-18 weeks and are designed to provide you with in depth learning to set you up for success once you move into your new role. As a participant in the academy, you will join CGI with a cohort of new graduates who will be part of your learning journey. You will work on individual and group assignments while getting coaching and guidance from our trainers and a representative from one of our business units. Once you graduate from the academy, you will join a team within a designated business unit where you can start applying your new skills and learnings.

New Grad Tech Academy Specializations:
Cloud Academy
Testing Automation Academy
Java Developer Academy
If you’re looking to hit the ground running from day one, we also have New Grad opportunities (outside our academy) available:

DevOps
Developer (.Net)
Java Developers
Build your career with us.

It is an extraordinary time to be in business. As digital transformation continues to accelerate, CGI is at the center of this change—supporting our clients’ digital journeys and offering our professionals exciting career opportunities.

At CGI, our success comes from the talent and commitment of our professionals. As one team, we share the challenges and rewards that come from growing our company, which reinforces our culture of ownership. All of our professionals benefit from the value we collectively create.

Be part of building one of the largest independent technology and business services firms in the world.

Learn more about CGI at www.cgi.com.

No unsolicited agency referrals please.

CGI is an equal opportunity employer. In addition, CGI is committed to providing accommodations for people with disabilities in accordance with provincial legislation. Please let us know if you require a reasonable accommodation due to a disability during any aspect of the recruitment process and we will work with you to address your needs.
Your future duties and responsibilities
Whether it’s a new grad tech academy or a new grad position, CGI provides a stellar experience for our new grads. When you join CGI, you can expect to:

Fast track your professional development to become a top consultant
Access professional development workshops and e-learning
Participate in our new grad innovation challenge with the opportunity to work in cross-functional teams while being coached by Directors and VPs – with a cash prize for the winning team!
Gain exposure to senior leaders through networking events and workshops
Participate in social events with your peers
Receive regular coaching and mentorship from leaders
Salary evaluations based on performance every 6 months in the first 2 years
Required qualifications to be successful in this role
A post-secondary student who is graduating this year or a recent grad who has graduated within the past 12 months; eligible programs: Computer Science, Software Engineering or a related field
Team player who adapts well to changing needs
Strong interpersonal skills with an aptitude for innovation
Relevant work experience including co-ops and internships considered an asset
Less than 16 months of relevant work experience, excluding co-op and internships"
Loblaw Companies Limited,"Data Science, Co-Op","Referred applicants should not apply directly to this role.
All referred applicants must first be submitted through Workday by a current Loblaw Colleague.
Location:
500 Lakeshore Blvd. West, Toronto, Ontario, M5V 2V9
The decision to join a company is a big one. We have opportunities for hard working, energetic and reliable people just like you.
Why is this role important?
Term Length: Winter, 4 months
Term Start Date: January 10th, 2022
Term End Date: April 22nd, 2022
Loblaw recognizes Canada's diversity as a source of national pride and strength. We have made it a priority to reflect our nation’s evolving diversity in the products we sell, the people we hire, and the culture we create in our organization. Accommodation is available upon request for applicants with disabilities in the recruitment and assessment process and when hired.
COVID Vaccination Status / Return to Office:
COVID-19 is a serious condition and has had a devastating impact on Canadians and others across the globe. As a leading Health and Wellness provider for millions of Canadians, our goal is to help all Canadians ""Live Life Well"".

In support of this goal, we have adopted a COVID-19 Vaccination Policy to protect the health and well-being of our employees as we continue our phased approach of office reopening. Store Support employees will be required either to be fully vaccinated or undergo regular COVID-19 Rapid Antigen Screening, paid for by the company, in order to access the workplace.
Job Description
The Data, Insights & Analytics (DI&A) team covers the data-focused spectrum from data governance and management through data engineering. We also cover the data analytics spectrum from ad-hoc database queries through to machine learning models. As Canada’s largest retailer, we are uniquely positioned to leverage data driven insights to deliver the needs of our customers. Our culture – Smart, Nice and Curious operates at the center of everything we do and is a critical part of who we are. Join us help Canadians live life well through the power of data, insights & analytics.
Why this role is important?
The Data, Insights & Analytics team at Loblaw is hiring an Data Science Co-Op reporting to Senior Data Scientist, Data, Insights & Analytics, the incumbent will use advanced techniques in obtaining and analyzing data to drive insights and develop precision marketing capabilities for Loblaw Brands. This role will have the opportunity to support various unique projects and enterprise-wide transformational data science initiatives.
What You'll Do:
Responsible for the extraction and analysis of complex information from a variety of databases.
Translating business requests and questions into an order of operations.
Extract, review and reshape the data for analysis, reporting using SQL, Python, R.
Analyze data to help determine insights to solve business problems or identify new opportunities
Design and build interactive and static data visualizations to provide insights and enable strategic business decisions
Build statistical, descriptive and predictive models to support experimentation that are easily understood and replicated
What You'll Bring:
University Degree in Data Science, Computer Science, Statistics, Mathematics, Economics, Engineering, Business or other relevant field
Programming skills with SQL, Python, PySpark.
Knowledge of predictive modelling, machine learning modelling.
Experience in utilizing advanced SQL data extraction and manipulation tools, GCP BigQuery is a big plus.
Retail analytics experience with a marketing focus preferred.
Superb analytical and conceptual thinking skills; to not only manipulate but also derive meaningful interpretations from data
Ability to take initiative, multi-task and work in a fast-paced environment
Capability to liaise with all levels across the enterprise on projects and ad-hoc requests
Data Visualization skills (Qlik/Power BI/DataStudio)
The Data, Insights & Analytics (DI&A) team covers the data-focused spectrum from data governance and management through data engineering. We also cover the data analytics spectrum from ad-hoc database queries through to machine learning models. As Canada’s largest retailer, we are uniquely positioned to leverage data driven insights to deliver the needs of our customers. Our culture – Smart, Nice and Curious operates at the center of everything we do and is a critical part of who we are. Join us help Canadians live life well through the power of data, insights & analytics.
Why this role is important?
The Data, Insights & Analytics team at Loblaw is hiring an Data Science Co-Op reporting to Senior Data Scientist, Data, Insights & Analytics, the incumbent will use advanced techniques in obtaining and analyzing data to drive insights and develop precision marketing capabilities for Loblaw Brands. This role will have the opportunity to support various unique projects and enterprise-wide transformational data science initiatives.
What You'll Do:
Responsible for the extraction and analysis of complex information from a variety of databases.
Translating business requests and questions into an order of operations.
Extract, review and reshape the data for analysis, reporting using SQL, Python
Analyze data to help determine insights to solve business problems or identify new opportunities
Design and build interactive and static data visualizations to provide insights and enable strategic business decisions
Build statistical, descriptive and predictive models to support experimentation that are easily understood and replicated
What You'll Bring:
University Degree in Data Science, Computer Science, Statistics, Mathematics, Economics, Engineering, Business or other relevant field
Programming skills with SQL, Python, PySpark.
Knowledge of predictive modelling, machine learning modelling.
Experience in utilizing advanced SQL data extraction and manipulation tools such as GCP BigQuery.
Retail analytics experience with a marketing focus preferred.
Superb analytical and conceptual thinking skills; to not only manipulate but also derive meaningful interpretations from data
Ability to take initiative, multi-task and work in a fast-paced environment
Capability to liaise with all levels across the enterprise on projects and ad-hoc requests
Data Visualization skills (Qlik/Power BI/DataStudio)
How You’ll Succeed:
At Loblaw, we seek great people to continually strengthen our culture. We believe great people model our values, are authentic, build trust and make connections.
If that sounds like you, and you are open-minded, responsive to change and up to the challenges provided in a fast-paced retail environment, apply today.
In addition, we believe that compliance with laws is about doing the right thing. Upholding the law is part of our Code of Conduct – it reinforces what our customers and stakeholders expect of us.
Employment Type:
Full time
Type of Role:
Temporary (Fixed Term)
Loblaw recognizes Canada's diversity as a source of national pride and strength. We have made it a priority to reflect our nation’s evolving diversity in the products we sell, the people we hire, and the culture we create in our organization. Accommodation is available upon request for applicants with disabilities in the recruitment and assessment process and when hired.
Please Note: If you have Employee Self Service (ESS) on Workday, apply to this job via the Workday application."
Alithya,Junior Software / Hardware Engineer,"Junior Software / Hardware Engineer
toronto
Toronto, Ontario, Canada
Please note that this position is located in Pickering.
Do you want to experience the essence of a large organization in a company with a personal touch? Come and work with us! We are looking for creative, innovative, and collaborative people like you to join our team.
At the heart of Alithya’s values is the well-being of our employees and their families. That's why, we continue to follow the Public Health Agency of Canada’s recommendations closely.
We remain close to you, while keeping our distance via Phone, Skype, Zoom or however you like.
Take your ambitions to next level
Alithya is currently seeking full-time Software and Hardware Engineers for our Pickering office to join our Energy Engineering Business Unit. You will work on technically challenging projects for the nuclear industry. Your role will include design and implementation of control systems for new and legacy applications. Your activities will include requirements gathering, reverse engineering, generating design specifications, application implementation, and on-site commissioning. Technologies used will include: PLCs, HMIs, I/O and database servers, and custom software applications.
Alithya has a proven track record of delivering control system solutions to the Canadian nuclear industry for over 35 years. Our unique mix of integration experience, regulatory and cybersecurity compliance expertise, and extensive domain experience sets us apart from other control system integrators. At Alithya, we not only deliver turn-key control systems, but also integrate technologies from the control room to the board room to meet your digital transformation and IIOT needs.
When it just clicks!
Does this sound like you?
Degree in Engineering or Computer Sciences;
PLC or controls experience;
Good understanding of software engineering lifecycle;
Excellent communication skills (both verbal and written);
Comfortable interfacing with clients;
Ability to work in a team environment;
Nuclear industry experience (asset);
Exposure to plant operating environment (asset).
Languages required:
English: 3/4
38251

Life at Alithya
40.0 hours per week;
Opportunities to develop and grow your career;
Work with diverse technologies, projects, clients and sectors;
Spend your days in a creative and innovative environment;
Share experience and knowledge as part of an agile and dynamic team;
A great harmony between work and personal life;
Access to exciting educational opportunities (internal, conferences, events, courses, certifications, etc.);
Personal recognition of your important professional contributions;
Great cultural diversity across our teams.
Why join our team?
Because creativity, passion, integrity and wellness are the company’s core values, we are looking for people like you who are enthusiastic, innovative, open-minded, team players and eager to learn.
Working at Alithya is a chance to be part of an energetic, dynamic, and growing team of more than 2,000 professionals in Canada, the United States and France. Our diverse practices and the extensive major projects entrusted to us by our prestigious clients allows us to offer many high growth potential opportunities to our employees in well-established technologies.
Alithya Group is an advocate for workforce diversity and as such, encourages the participation of women in management roles, and implements immigrant-friendly recruiting initiatives
The diversification of our workforce is another factor that sets us apart, resulting from our many international recruitment initiatives and our ongoing efforts to promote diversity and inclusion. We belong to the 30% Club, which encourages women’s access to leadership positions."
