company,job_header,job_description
SS&C Technologies,Machine Learning Scientist,"SS&C is a global provider of investment and financial services and software for the financial services and healthcare industries. Named to Fortune 1000 list as top U.S. company based on revenue, SS&C is headquartered in Windsor, Connecticut and has 20,000+ employees in over 90 offices in 35 countries. Some 18,000 financial services and healthcare organizations, from the world's largest institutions to local firms, manage and account for their investments using SS&C's products and services.
Job Description
Machine Learning Scientist P2 - SS&C Financial Services Group–
Location: Spadina Ave, Toronto, Orbitor Drive, Mississauga or other Canadian locations
At SS&C we are building the global future of financial services’ transaction processing and recordkeeping systems on the latest open-source technology and event sourcing architecture. We are looking for curious minds to join us and be an integral part of our exciting journey!
About the company: SS&C Technologies Holdings (NASDAQ: SSNC) is the world’s largest hedge fund and private equity administrator, as well as the largest mutual fund transfer agency. SS&C’s unique business model combines end-to-end expertise across financial services operations with software and solutions to service even the most demanding customers in the financial services and healthcare industries. SS&C owns and operates the full technology stack across securities accounting, front-to-back-office operations, performance and risk analytics, regulatory reporting, and healthcare information processes.
About the position: The SS&C Financial Services Development Group is looking for talented Machine Learning Scientist to join our cross functional global team.
Position Overview:
The SS&C Financial Services Development Group is looking for talented Machine Learning Scientist to join our cross functional global team. These engineers will be responsible for analyzing, designing, coding and modifying algorithms to our models to improve our predictive results for our clients.
The role is for a candidate who is skilled in new technology and will be provided the opportunity to work on large systems developed in multiple technologies.
Your code will be used in commercial and end-user applications, such as materials management, financial management, mobile apps or desktop applications products. Using current programming languages and technologies, leveraging BDD (Behavior Drive Development)/TDD (Test Driven Development) methodologies, cloud-native, you will be writing code, and perform testing and debugging of applications.
You will complete documentation and scripts for installation and maintenance. You may interact with users to define system requirements and/or necessary modifications. You will adhere to Software Engineering and Information Security Controls, and align with enterprise architectural strategies.
You will close existing software defects and ensures maintenance of architectural diagrams
Requirements:
Able to implement and improving computer vision/deep learning models.
Able to deploy/update models in production.
Create/Clean and Manage training data sets.
Work with a product owner within an agile team to define, develop, and estimate user stories and epics.
Work with BA and QA to create and implement automated BDD tests.
Maintain production-quality software development and best practices.
Qualifications:
Computer Science/Engineer related Master’s degree; or PHD’s degree (recent graduate); or 3+ years of equivalent work-related experience
Developing and maintaining SaaS applications
Java, JUnit, Spring
Python knowledge, C++ is a plus
PyTorch, Tensorflow and similar frameworks.
OpenCV and other CV libraries.
Web, RESTful Services Development is a plus.
AWS experience is a plus.
Working in an agile environment using Scrum/Kanban
A passion for continuous learning as well as the ability to learn quickly and apply new skills.
Flexibility/Ability to be proactive, possesses creative problem-solving skills and the capability to find solutions and the ability to successfully meet deadlines.
Able to work with a global team.
Knowledge of Financial Services experience also a plus.
Why SS&C?
Working at SS&C is balanced and fair – especially in challenging times. We offer flexible work schedules, time off, and so much more to keep you healthy, safe, and productive. SS&C offers:
Hybrid Schedule featuring 8-10 days in the office monthly combined with working from home
Competitive base salary plus EXCELLENT benefits (including medical, dental, vision, STD, LTD and more)!
RRSP Matching Program
Global Flexible Time Off Policy (personal/vacation time)
Sick Leave Policy
Ten company-paid holidays in a full calendar year
Eligible for an annual performance-based bonus program
Tuition Reimbursement up to 70% and Professional Development up to 100%
Candidate Referral program
Business Casual dress code (includes jeans)
Exposure to many key business groups within the company, including regular interaction with senior management and opportunities for advancement
To further explore this opportunity, please apply through our careers page on the corporate website at www.ssctech.com/careers .No phone calls please. We thank all candidates for their interest, but only those under consideration will be contacted.
#LI-LM1
Unless explicitly requested or approached by SS&C Technologies, Inc. or any of its affiliated companies, the company will not accept unsolicited resumes from headhunters, recruitment agencies, or fee-based recruitment services. SS&C offers excellent benefits including health, dental, 401k plan, tuition and professional development reimbursement plan. SS&C Technologies is an Equal Employment Opportunity employer and does not discriminate against any applicant for employment or employee on the basis of race, color, religious creed, gender, age, marital status, sexual orientation, national origin, disability, veteran status or any other classification protected by applicable discrimination laws."
Taeron Systems Inc.,Software Developer - Machine Learning and Drone Analytics,"Salary: $7,500.00/Monthly
Job Type: Full Time, Contract
Start Date: 2021-10-01

Language: English
Minimum Education: Diploma
Positions Available: 1

NOC Group: Software Engineers and Designers (2173)
NOC Job Title: Designer, Software
Expires in 18 days
Expires: 2021-10-15
Posted: 2021-09-21
Last Updated: 2021-09-21

Job Location(s)
6001 Grant McConachie Way
Richmond, British Columbia
V7B 1K3, Canada
Job Description
Software Developer - Machine Learning and Drone Analytics
Looking for a new opportunity in the Aerospace Industry in Vancouver? Taeron is hiring a software developer to support our growing team on a special machine learning project. If you are interested in pushing the envelope of innovation and enjoy creative problem solving, come work with us! We are a small company supporting the Vertical Take Off and Landing industry by providing new solutions to existing problems.
We are looking for a motivated self-starter who is organized, collaborative, and can commit to realistic deadlines we establish together. Machine learning and dataset management are required software skills. The position starts as a 6 month full time contract but may be converted into a full time permanent position. Our shop is located near YVR and we support working from home whenever possible.
Key skills or tasks called for in our upcoming project include:
Organize and evaluate digital elevation models created from aerial photography
Organize and evaluate drone telemetry
Design and build an artificial neural net to draw conclusions and make predictions based on the above data
Working remotely and sometimes spending the day outside collecting data
The position will require travelling to outdoor sites to fly a drone. Having a driver's license would make that task simpler. No prior experience with drones or aerial photography is required, though some image processing experience would be an asset.
Candidates must meet the eligibility requirements of the IRAP YEP Program.
https://nrc.canada.ca/en/support-technology-innovation/nrc-irap-funding-hire-young-graduates
We anticipate the salary for this full time contract is $45k over 6 months, beginning Oct 1. The time-to-start is short so if you are interested reach out to us!
Contact info@taeron.ca to apply for the position or learn more about the project.
Taeron systems is a small company and we are committed to respecting and increasing the diversity of our team.
How to Apply
Expiring: Oct 15, 2021
Email: info@taeron.ca"
Axiom Zen,AP Clerk,"Axiom Zen combines the best parts of a start up, venture capital firm, and incubator to create a flexible platform to serve as the sustainable home for brilliant people. In order to enable this, we know that we need to build the best of each of our functions to support organizational growth and sustain the portfolio of leading technology companies we are endeavouring to build.

We are currently seeking an energetic AP Clerk to support our dynamic accounting and financial reporting functions across the Axiom Zen portfolio. You will work directly with the finance team to support the month-end closing process, while constantly seeking opportunities to refine the sophistication of our financial reporting capabilities and accelerating our timelines to deliver.

You understand that technology companies move fast and that leaders need accurate and timely data to inform decision making. You have a hyper focused attention to detail, with high intrinsic motivation to get to the correct answer to satisfy your own curiosity.

Together, we will build out robust and scalable processes and workflows from which Axiom Zen can optimize the growth and development of its existing portfolio, while augmenting the foundation from which we will launch the next wave of leading technology companies.

What we'll accomplish together:
Receiving and matching invoices to purchase orders / agreements and inputting invoices accurately into accounting system.
Communicating with functional teams, gathering information for accurate cost coding to facilitate internal and external reporting needs.
Tracking invoice aging to ensure effective coordination with pay cycles.
Assisting in the development of processes and controls to ensure efficiency of the AP function.
Reconciling corporate credit card transactions on a daily basis.
Supporting the Finance team with period close procedures as required.
Assisting with external audit requirements.
Ad-hoc projects as necessary.
A little about you:
Completion of Accounting or Business Administration degree.
You have relevant experience in a similar role, particularly in companies with high-volume (multi-million) transactions and / or tech and startup environments.
Experience with Xero and / or Netsuite would be an asset.
You have demonstrated success in environments that require managing ambiguity and multiple deadlines among various stakeholders and can quickly adapt to changing priorities.
You are excited about emerging technology like blockchain / cryptocurrency, SaaS, mobile apps, AI, and machine learning.
You have solid proficiency in MS Office Suite (particularly in Excel), and Google Suite.
You are flexible and willing to go that extra mile to gain more knowledge and experience.
A little about us:

Axiom Zen is an award-winning venture studio. Our portfolio companies combine creativity and experience to test new ground in emerging tech - our mission is to inspire delight through thoughtful user experiences. Our portfolio includes:

Axiom Zen is the company behind world leading blockchain applications including CryptoKitties, the Dapper smart contract wallet, and NBA Top Shot. Formed in February 2018, Dapper Labs was spun out of Axiom Zen to spread the benefits of decentralization through the power of play, fairness, and true ownership. Dapper Labs was recently named one of Fast Company’s 10 innovative gaming companies of 2021.
ZenHub helps development teams build better software faster. Over 200,000 developers, product owners, and project managers in organizations ranging from disruptive startups to global enterprises have leveraged ZenHub to improve their software development lifecycle and deliver value to their customers.

At Axiom Zen, we recruit the best and foster an environment that empowers our team. That means a workplace that is diverse, inclusive, and open-minded. We welcome applicants of all backgrounds, regardless of race, colour, religion, sexual orientation, gender identity, national origin, or disability.

We offer compensation commensurate with the high level of talent we seek, diverse opportunities for learning and development, extensive benefits, and flexible time off policy."
ThinkRF Corp,Senior AI – Machine Learning Engineer,"thinkRF has an opportunity for a Senior AI/ Machine Learning Engineer who can provide technical leadership and innovation to support the next stage in our company’s growth. In this role, you would be responsible for delivering AI / Machine Learning based solutions for thinkRF’s customers as well as creating and maintaining a fast paced development architecture using leading AI technology frameworks.
The Company
thinkRF is a rapidly growing Ottawa based technology company that is the leader in developing software-defined spectrum analysis platforms that monitor, detect and analyze complex waveforms in today’s rapidly evolving wireless landscape.
Founded in 2006, thinkRF is headquartered in Ottawa, Canada with offices and partners globally.
The Opportunity
thinkRF has an opportunity for a Senior AI/ Machine Learning Engineer who can provide technical leadership and innovation to support the next stage in our company’s growth. In this role, you would be responsible for delivering AI / Machine Learning based solutions for thinkRF’s customers as well as creating and maintaining a fast paced development architecture using leading AI technology frameworks.
The position is based in Ottawa, and under current COVID-19 conditions has flexibility to work from home however, there will be times when it is required to work from our office in Kanata.
Responsibilities
As the Senior AI / ML Engineer / Architect, you will manage multiple AI/Analytic product initiatives and be the primary engineer/architect responsible for key tasks such as requirements analysis, AI / ML techniques selection and optimization, data capture processes, AI architecture design and ongoing management and a maintenance.
Using your industry experience, you will plan the implementation of AI based solutions, choosing the right technologies and evaluating the evolution of the architecture as required. As the Senior AI/ML Engineer Architect, you will play a major role in implementing and managing the AI/ML development environment using Cloud and on-premise products & services.
In this role, you will:
Design working prototypes and proof of concepts to fine tune customer solutions
Produce and validate reference architecture implementations across multiple market segments and RF/AI use cases
Act as a technical liaison between customers and the product teams to provide customer driven product improvement feedback
Manage the day-to-day activities of the AI work activities and lead the AI/ML deliverables within an Agile/Scrum environment
Report on status of development, quality, operations, and system performance to management
Be a part of a highly productive and creative engineering team
Qualifications
Essential Qualifications
BS in Computer Science, data science or an AI-related discipline
5+ years of technical expertise within major AI or software-centric programs in industry, academia, or government
Proven track record of implementing Machine Learning solutions, development in multiple languages and statistical analysis and well experienced with a whole host of other approaches used in practical applications of machine learning
Deep learning tools: Tensorflow, PyTorch, Scikit-learn, Keras, Python Libraries
Proficiency in Artificial Intelligence/ Machine Learning & Modeling: CNNs, LSTMs, GANs, Autoencoders, Reinforcement Learning, Temporal use-cases as well as classical AI techniques
Data science and data engineering of structured and unstructured data as well as imbalanced data structures, handling Peta-byte scale datasets for model training, proficiency in distributed computing and databases
Familiarity with software development on AWS including serverless development experience including complex integrations with AWS Lambda, Amazon Elasticsearch, Amazon Redshift, Amazon Kinesis, and Amazon DynamoDB
Assets
Masters / PhD in Computer or Data Science
Domain expertise in Machine Learning Techniques associated within the RF/Wireless communications domain
Proficiency in development methods and techniques
Agile methodology: Scrum, Kanban, Sprints, Collaboration tools: Wiki or other
Version control systems: Git, GitLab, GitHub, Bitbucket
Continuous Integration: Jenkins
Working understanding of embedded processor control of RF functions and a good understanding of RF Engineering domain
Proficiency in DevOps / MLOps Cloud infrastructure: OpenStack, AWS (Amazon Web Services), Azure, Google Cloud, Virtual Environments, Cloud Containers: Docker, Kubernetes
Personal Attributes
Self-starter, capable of taking initiative to identify and resolve problems, and improve work environment
Strong verbal and written communication skills, with the ability to work effectively across internal and external organizations.
Outstanding work ethic and commitment to organizational success.
Team player who is able to build consensus and work cooperatively
Ability to successfully deliver on committed project deadlines
Why work for us?
At thinkRF, highly skilled, creative and dynamic professionals join our team because they have the opportunity to work alongside technology thought leaders while directly contributing to the delivery of our world-class technology. We offer our employees a competitive total rewards package, ongoing development opportunities and a flexible work environment.
To join the thinkRF team:
Email your resume in confidence to hr@thinkrf.com, specifying the title of the position you are applying for in the subject line of your message. Please be sure to provide some insight into your initiative, skills and achievements, and how you plan to contribute toward the growth of our company.
thinkRF is an equal opportunity employer and we encourage applications from candidates of all backgrounds, origins, ages, orientations, genders, creeds and religions. thinkRF accommodates people with disabilities throughout the recruitment and selection process, and beyond. If contacted regarding your application to this position, please advise us of any accommodations you may require."
Yelp,Software Engineer - Machine Learning (Remote),"Yelp has hundreds of millions of pieces of user-contributed content, millions of users and business listings, and hundreds of thousands of advertising customers–and all of these numbers are constantly growing. Yelp’s machine learning engineers turn raw data into valuable signals by building end-to-end ML systems, from feature ETL to deploying predictive models in production, as well as by building the ML platforms that these models rely on. These systems power applications like search ranking, ads targeting, push notifications, and photo understanding. Our data teams banter about Bandits, know their way down a Gradient, and aren’t too Naïve to kick back in our office.

Yelp engineering culture is driven by our values: we’re a cooperative team that values individual authenticity and encourages creative solutions to problems. We enable all new team members to deploy working code their first week, and your impact will only grow from there with the support of your manager, mentor, and team. At the end of the day, we are all about helping our users, growing as engineers, and having fun in a collaborative environment.

We’d love to have you apply, even if you don’t feel you meet every single requirement in this posting. At Yelp, we’re looking for great people, not just those who simply check off all the boxes.

This opportunity is fully remote and does not require you to be located in any particular region. We welcome applicants from throughout Alberta.
Where You Come In:
Conduct end-to-end analyses, from wrangling data via SQL or Python, to statistical modeling, to hypothesizing and presenting business ideas.
Work with large, complex datasets.
Lead the development of machine learned models for offline, batch-based data products as well as models deployed to online, real-time services.
Work in areas such as search, ads targeting, spam, and photo understanding.
Productionize and automate model pipelines within Python services.

What it Takes to Succeed:
Experience with data ETL and data analysis packages and workflows (SQL, MapReduce, Spark, etc.).
Experience with machine learning using packages such as xgboost, sklearn, TensorFlow, etc.
A love for writing beautiful and maintainable code.
The curiosity to uncover promising solutions to new problems, and the persistence to carry your ideas through to an end goal.
Comfort in using a Unix environment.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

#LI-Remote

At Yelp, we believe that diversity is an expression of all the unique characteristics that make us human: race, age, sexual orientation, gender identity, religion, disability, and education — and those are just a few. We recognize that diverse backgrounds and perspectives strengthen our teams and our product. The foundation of our diversity efforts are closely tied to our core values, which include “Playing Well With Others” and “Authenticity.”

We’re proud to be an equal opportunity employer and consider qualified applicants without regard to race, color, religion, sex, national origin, ancestry, age, genetic information, sexual orientation, gender identity, marital or family status, veteran status, medical condition or disability.

We are committed to providing reasonable accommodations for individuals with disabilities in our job application process. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-recruiting@yelp.com or 415-969-8488.

Note: Yelp does not accept agency resumes. Please do not forward resumes to any recruiting alias or employee. Yelp is not responsible for any fees related to unsolicited resumes."
HomeStars,Senior Data Scientist (Remote),"HomeStars is Canada’s leading platform connecting homeowners with qualified service professionals. Every month over half a million homeowners visit HomeStars to research and select the best-rated home service professionals nearby. Visit us at homestars.com to learn more!

At HomeStars, we embrace and celebrate uniqueness within our work community. We believe our greatest ideas come from a diverse mix of mindsets, backgrounds, and experiences. We’re committed to cultivating an inclusive work environment where all of our employees feel welcome, comfortable, and have the opportunity to thrive.

The Opportunity:

Are you passionate about business and science? ...perfect!

In this role, we need someone that can influence how we think about our business through the use of advanced analytics techniques, unlocking new levels of information.

You will work within the Advanced Analytics function while partnering and working in alignment with a broader Data and Analytics department.

The Advanced Analytics function is responsible for tackling the most complex problems while providing day-to-day decision support as needed. You will own the end-to-end advanced analytics lifecycle that includes discovery, problem framing, data preparation, model building, and storytelling. Data is boundless, a key to success in this role is to remove the complexity that surrounds our business partners, we need stories about our data that are easy to follow.

This is a high visibility role where you will interact with all departments and levels of the organization on a project-by-project basis, having strong business acumen will help you navigate the organization and become a trusted partner.

Your impact, 90 days and beyond:
Lead the advanced analytics practice, uncover insights for our organization to leverage in a variety of scenarios by diving deep into our business and even deeper into our database
Partner with stakeholders to learn about their objectives and prioritize the most impactful opportunities that require decision support
Analyze data and present insights that are contextual to support a problem or opportunity, advance your own knowledge of our business by continuously exploring our data
Seek to learn more about how the product serves our customers, the inner workings of our platform, and the inception of our datasets in order to proactively identify value add opportunities
Build statistical models and machine learning algorithms quickly and accurately using a range of methods with the ability to easily explain why the method of choice is appropriate
Manage a portfolio of algorithms, models, and analytical research, set high standards by defining best practices and bring us along to level up our collective skillset
Requirements:
5+ years of experience in applying advanced analytics to support a variety of scenarios within an organization, deep specialization in statistical and machine learning models
Experience with coaching cross-functional teams on when and where the advanced analytics capability should be used and what to expect from a timing and output perspective
Proven experience with managing advanced analytics requirements, able to work across business and technical stakeholders, and can easily unpack/explain mathematical concepts
Strong understanding of data management concepts with the ability to translate business and analytics requirements into credible data requirements for Data Engineering to support
Hands-on skills with code (R or Python), databases (Snowflake, MySQL, etc...), and reporting platforms (Tableau, Google Data Studio, Google Spreadsheets, etc…)
Nice to Have:
Ability to learn more about the company or particular project through partnership with key roles in Sales, Finance, Marketing, Customer Success, Product, and Engineering
Comfortable with building functional dashboards in Tableau in order to publish insights or studies for stakeholders to openly explore at their own pace
Benefits:
Remote work - All of our roles are currently remote. Office equipment supplied!
Excellent Benefits Package - We want a healthy and productive team
Wellness Wednesdays - Our way of helping to achieve mental, and physical wellness during the pandemic
Equity Program - An opportunity for all of our employees to share in HomeStars' success
December Break - The office is closed the week before New Year’s Eve, every year
Personal Growth. We provide constructive feedback to foster their career growth
We are growing fast - HomeStars is part of the ANGI Homeservices Inc. family which is public and includes top home service brands like Home Advisor and Angie’s List
Beautiful brick & beam office in the heart of the entertainment district in Toronto, including a rec room with lounge, ping pong, darts and foosball
HomeStars has recently been recognized as:
Best Workplaces Managed by Women, Canada 2020
Best Workplaces in Technology, Canada 2020
Best Workplaces for Today’s Youth, Canada 2020
We are an equal opportunity employer and do not discriminate based upon race, religion, colour, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics."
Deepcell,Senior Machine Learning Engineer,"About Deepcell
Interested in helping to develop cutting edge technologies to empower cell biology and save lives? If so, we'd love to talk to you!

Our company is focused on developing a new technology to improve biological research and, ultimately, health outcomes, across all of biology, enabling previously impossible applications. We deliver detailed breakdowns on a cell-by-cell basis, by using deep learning to classify cells based on their morphology. We've launched an internal product and are working to develop a commercially releasable version.

Come join Deepcell and make a difference! We're a rapidly growing team of stellar innovators in biomedical engineering, artificial intelligence, and molecular biology. Our technology has won multiple prestigious awards and is backed by top-tier venture capitalists in Silicon Valley including Andreessen Horowitz and Bow Capital.

Responsibilities
As a Senior ML engineer you will lead development on our model training and evaluation infrastructure. You will work closely with data scientists to experiment on model architectures and take them to production. You’ll build, maintain and improve data processing pipelines that process billions of data points and petabytes of data.

You’ll work in an interdisciplinary team composed of data scientists, bioinformaticians, biologists and software engineers to help solve hard problems which improve biological research and, ultimately, health outcomes, across all of biology.
Minimum Qualifications
This is an on-site position - not remote. Work from home as appropriate.
Bachelor’s in computer science or equivalent
5 years’ software development experience
2+ years' experience running medium to large/complex projects with multiple internal / external dependencies
Expertise in working with at least one deep learning framework, such as PyTorch, TensorFlow, Caffe
Experienced in working with ETL pipelines
Experienced in cloud providers such as GCP or AWS
Strong analytical and problem solving skills
Ability to understand and execute on the company’s mission and values
Maintain a high degree of ethical standard and trustworthiness
Strong technical written and oral communication skills
Preferred Qualifications
7+ years’ software development experience
Proficient in Python
A track record for delivering Machine Learning projects for a product
Excellent written and verbal communication skills
Strong and proactive communication, natural curiosity. Ambition to apply skills to a wide variety of fields
Be able and open to pick up new skills, work with 3rd party technologies and devices
Deepcell Bio is an Equal Opportunity-Affirmative Action Employer Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation"
Coursera,"Data Scientist, Decision Science","Coursera was launched in 2012 by two Stanford Computer Science professors, Andrew Ng and Daphne Koller, with a mission to provide universal access to world-class learning. It is now one of the largest online learning platforms in the world, with 87 million registered learners as of June 30, 2021. Coursera partners with over 200 leading university and industry partners to offer a broad catalog of content and credentials, including Guided Projects, courses, Specializations, certificates, and bachelor’s and master’s degrees. Institutions around the world use Coursera to upskill and reskill their employees, citizens, and students in many high-demand fields, including data science, technology, and business. Coursera became a B Corp in February 2021.

At Coursera, our Data Science team is helping to build the future of education through data-driven decision making and data-powered products. We drive product and business strategy through measurement, experimentation, and causal inference. We define, develop, and launch the models and algorithms that power content discovery, personalized learning, and machine-assisted teaching and grading. We believe the next generation of teaching and learning should be personalized, accessible, and efficient. With our scale, data, technology, and talent, Coursera and its Data Science team are positioned to make that vision a reality.

We’re looking for a talented, creative, and collaborative data scientist to support decision-making for our product and business teams - leveraging the rich data captured as tens of millions of learners and thousands of instructors engage on the platform to deliver innovative, data-driven insights on how to create experiences that will better meet the needs and expectations of learners. Our ideal candidate has excellent analysis and statistical modeling skills, strong written and verbal communication, and an interest in expanding the reach and quality of online education.
Responsibilities:
Evaluate the success of key product and business initiatives (e.g. determining whether new product listing pages better serve career switchers or measuring the success of efforts to reduce contact rate by improving the learner payment flow)
Estimate the potential impact of proposed projects in order to inform other teams’ prioritization decisions
Develop our understanding of Coursera’s products, business, and learners by analyzing learner behavior to uncover patterns and identify opportunities for improvement
Work closely with data engineering and operations teams to ensure that new projects and products are launched with clear instrumentation to support experimentation and measurement plans
Partner with other data scientists to develop measurement plans for new data product launches and to share context from different areas of the business and build a more complete and consistent understanding of what data tells us about our learners
Basic Qualifications:
2+ years of experience using data to advise product, business, or services teams
1+ year of experience applying statistical inference techniques to business questions
Preferred Qualifications:
Background in applied math, computer science, statistics, or a related technical field
Proven business intuition, cross-functional communication, and project management
Skilled with applied statistics and data visualization
Proficient with at least one scripting language (e.g. Python)
Proficient with at least one statistical software package (e.g. R, NumPy/SciPy/Pandas)
Proficient with relational databases and SQL
If this opportunity interests you, you might like these courses on Coursera:
Marketing Analytics
Data-Driven Decision Making
Coursera is an Equal Employment Opportunity Employer and considers all qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, age, marital status, national origin, protected veteran status, disability, or any other legally protected class.

If you are an individual with a disability and require a reasonable accommodation to complete any part of the application process, please contact us at accommodations@coursera.org.

Please review our CCPA Applicant Notice here."
Wix,Machine Learning Engineer - DeviantArt,"We are:
The DeviantArt team. We’ve been around since 2000, and a part of Wix since 2017, and we’re the largest online social network for artists and art enthusiasts. We have over 60 million registered members and attract over 50 million unique visitors per month. Our members, known as deviants, upload tens of thousands of original pieces of art every day.

The systems we develop are at the core of how artists and their audiences discover each other on the internet, and lead the way for large scale machine learning applications across Wix.

We’re looking for a Machine Learning Engineer to join our Vancouver-based team, so that we can improve the velocity at which we ship game-changing AI-powered features.

You are:
A passionate machine learning engineer with 2+ years of hands-on experience developing and deploying large-scale ML applications using Python. You’re passionate about projects and features that are key to company goals and directly used by millions of people every day, and you’ve taken more than one ML project from the drawing board to production and you have a deep understanding of both the scientific and engineering aspects of the applications you’ve shipped.

Bonus points if you’ve:
Developed both classical ML and deep learning models using tooling like Jupyter, Sklearn, Pytorch, Pyspark, and Pandas
Defined reproducible ETL, training, and inference pipelines for both realtime and batch ML applications using managed AWS services like Kinesis, Batch, Glue, EMR, Lambda, Step Functions, CloudWatch, and CloudFormation
Integrated machine learning models with search technologies like ElasticSearch or Vespa

As a Machine Learning Engineer at DeviantArt, you will:
Guide Product Managers, UX Designers, and software engineers in the design and implementation of new machine learning-powered features across a variety of business domains
Stay up-to-date with developments in the machine learning community and translate them into actionable suggestions for DeviantArt’s systems and goals
Implement, deploy and monitor production machine learning systems that are trusted to power key features of DeviantArt and other verticals inside Wix

While the DeviantArt team is WFH during the Covid-19 pandemic, we will resume our hybrid home/office work schedule in Fall 2021 and are seeking only candidates who are Vancouver-based or who are able to relocate to the Vancouver area.

We’re proud to be an equal opportunity employer. Wix was built around the idea that everyone has the right to be successful, online. This same vision defines us as an employer: creating a work environment where everyone is welcome, and anyone has the right to succeed."
BenchSci,Scientific Analyst - Bioinformatics (Remote),"BenchSci's vision is to help scientists bring novel medicine to patients 50% faster by 2025. We do this by empowering scientists to run more successful experiments with the world's most advanced, easy to use biomedical artificial intelligence software platform, thereby avoiding delays that slow the progress of medicine to clinical trials. Backed by F-Prime, Inovia, Golden Ventures, and Google's AI fund, Gradient Ventures, we provide an indispensable tool for more than 41,000 scientists that accelerates research at 15 top 20 pharmaceutical companies and over 4,300 leading academic centers. We're a CIX Top 10 Growth company, certified Great Place to Work®, and top-ranked company on Glassdoor.

The primary function of this role is to contribute to the scientific accuracy of the BenchSci platform by maintaining the underlying bioinformatics databases and Support the machine-learning algorithms. You will report directly to the Reagent Data Manager, and collaborate with the Bioinformatic Scientific Associate.
You will:
Support the bioinformatic mapping of product targets to improve the search-ability of the products on the platform.
Support the development, update, and maintenance of the BenchSci bioinformatics databases: Help maintain our current bioinformatics ontologies, Help maintain the existing reagent mapping pipeline, and Help develop new reagent mapping pipelines.
Help with data analysis projects including customer-facing data analysis projects.
Support the evaluation and preparation of data for new projects as the need arises.
Brainstorm new bioinformatics features/tools/pipelines that directly affect the platform and user experience.
You have:
MSc or PhD in bioinformatics or computational biology, or relevant experience.
Sufficient knowledge and/or bench experience in experimental biology research techniques, including but not limited to: Immunological methods (in vitro, cell-based and analytical), Genetics (cloning, CRISPR, NGS, PCR), Analytical Biology (pharmacokinetics/pharmacodynamics, LC/MS, SPR),In vivo studies (cell cultures, animal models)
Proficient in data processing and wrangling tools such as Python, SQL, Excel.
Solid knowledge in using major biological resources such as Ensembl, UniProt, and Protein Data bank.
Solid experience in working with protein interactions and gene regulatory networks data.
Our benefits and perks:
An engaging remote-first culture that hires the best talent from around the world
A competitive compensation package that includes BenchSci equity options
Comprehensive health and dental benefits with an emphasis on mental health
An annual Executive Health Assessment at Medcan for proactive health awareness
Three weeks of vacation plus an additional day for every completed year
Generous parental leave benefits with a top-up plan or paid time off options
Additional time-off: Winter Holiday (Dec 25-Jan 1), Summer Holiday, your birthday, and more!
An Oculus Quest 2 to connect with your team members in Virtual Reality
An executive coach for managers to assist in leading high-performing teams
Complimentary Headspace account to support mental wellness and focus
Complimentary genome sequencing from 23andMe to better understand your health through your DNA
Our Culture:
We believe culture is critical to success and invest accordingly. We live and promote our FASTT values of focused, advancement with speed, tenacity, and transparency. We work hard to maintain an engaging, supportive environment where everyone can do their best work. To learn more, read our culture deck.

Diversity, Equity and Inclusion:
We're committed to creating an inclusive environment where people from all backgrounds can thrive. We believe that improving diversity, equity and inclusion is our collective responsibility, and this belief guides our DEI journey. To learn more, read about our DEI initiatives.

Accessibility Accommodations:
BenchSci provides accessibility accommodations during the recruitment process. Should you require any accommodation, we will work with you to meet your needs.

#LI-Remote"
